Product,Price
HP Pavilion Gaming Mouse Pad 300 - Black,499.00 جنيه
"HP 78A Black Original LaserJet Toner Cartridge, CE278A","1,999.00 جنيه"
HP DeskJet Plus Ink Advantage 6475 All-in-One Printer (5SD78C) - White,"4,630.00 جنيه"
HP طابعة اتش بي ليزر جيت، ابيض - M211d,"6,990.00 جنيه"
HP OfficeJet Pro 8210 Business Ink Wireless Printer,"4,900.00 جنيه"
HP  107W Wireless LaserJet Printer,"7,750.00 جنيه"
"HP Laptop Hp Victus 15-fa1043ne Gaming 13th Intel i5-13500H , 6GB GDDR6  GeForce RTX 3050  8GB , 512GB SSD, 15.6"" FHD (1920x1080) 144 Hz IPS, Backlit Keyboard  Silver","38,858.00 جنيه"
HP M111A - LaserJet  Printer,"5,499.00 جنيه"
HP HP Gaming Water-Resistant Backpack for 17.3'' Laptops with Self-Repairing Dual Zippers,"2,499.00 جنيه"
"HP 963XL 4-pack High Yield Original Ink Cartridges Black,Cyan,Magenta,Yellow","7,640.00 جنيه"
HP أتش بى أستريو سماعة رأس ابيض*سيلفر H2800,"1,225.00 جنيه"
HP طابعة اتش بي ليزر جيت لاسلكية أبيض (طباعة - نسخ - مسح ضوئي - فاكس) - MFP 137FNW,"12,250.00 جنيه"
HP 953 XL Black + 953 XL Tri Color Ink Cartridge Set - 4 Pcs,"9,195.00 جنيه"
HP Mouse 1000 Wired 4QM14AA - Black,430.00 جنيه
HP Wired Mouse 100 6VY96AA -,430.00 جنيه
HP Wireless Mouse 200 2HU84AA - Pike Silver,850.00 جنيه
HP MFP M182n Color LaserJet Pro Printer 11.5x16.5inch White,"20,500.00 جنيه"
HP M135W Laserjet Multi-function Printer,"10,212.00 جنيه"
"HP 135a Laser MFP Printer, 4ZB82A - White","9,150.00 جنيه"
HP أتش بى Spectre شنطة Sleeve جلد حجم 13.3 بوصة - موديل,"1,599.00 جنيه"
HP كابل طابعة HP USB-A إلى USB-B v2.0 بطول 1.5 متر - أسود,115.00 جنيه
HP طابعة  LaserJet 179fnw لاسلكية ملونة متعددة الوظائف مزودة بفاكس,"23,000.00 جنيه"
HP HP Reversible Laptop Sleeve - Black- Blue V5C27AA,599.00 جنيه
HP 515 Smart Ink Tank All-in-One printer,"9,617.00 جنيه"
HP Officejet Pro 9730 Wide Format All-in-One Printer (537P5C),"11,490.00 جنيه"
HP 912XL High Yield Original Ink Cartridge Black,"3,350.00 جنيه"
HP ماوس لاسلكي يعمل بتقنية الشحن عبر USB، W10,220.00 جنيه
HP LaserJet M111a Printer (7MD67A) - White,"5,050.00 جنيه"
"HP Spectre x360 16-f2023dx (Core i7-1360P 3.70GHz, 16GB Ram-1TB Nvme- Intel Arc A370M Graphics 4GB GDDR6-16"" UHD+ OLED Touch-Full-size Backlit nightfall black Keyboard-English - Win11-Nightfall Black )","87,700.00 جنيه"
HP اتش بي طابعة الكل في واحد  Officejet 8010 الكل في واحد، بازلت فاتح، بازلت فاتح، (4493863),"8,650.00 جنيه"
HP MFP-M141A - LaserJet Printer,"6,999.00 جنيه"
HP PRINTER SMART TANK 3 IN 1 580 - White,"8,550.00 جنيه"
HP طابعة MFP M442dn ليزرجيت اتش بي متكاملة، ابيض - 8AF71A,"32,900.00 جنيه"
HP DHH-1206 Wired 3.5 music Headphone - White,800.00 جنيه
HP Mouse Wireless Z3700 V0L79AA - Black,"1,010.00 جنيه"
HP Mouse Wireless Z3700 Dual 758A8AA - Black,"1,130.00 جنيه"
HP 240 Bluetooth® 5.1 Mouse 793F9AA – Lunar White,"1,010.00 جنيه"
"HP Original HP Gaming Mouse G210, 4 DPI, 6 Buttons, Optical Sensor",899.00 جنيه
HP خرطوشة حبر اصلية لطابعات الليزر من اتش بي W2070A 117A، لون اسود، عبوة واحدة,"3,300.00 جنيه"
HP Printer HP OfficeJet Pro 8123 All-in-One,"9,787.00 جنيه"
HP OfficeJet Pro 9010 All-in-One Printer 3UK83B - White,"7,520.00 جنيه"
HP LaserJet Pro MFP M183fw (7KW56A) Print/Scan/Cop LAN WiFi White/Black,"23,900.00 جنيه"
HP كابل اتش بي HDMI إلى HDMI، طوله 1.5 متر، اسود,450.00 جنيه
HP طابعة ليزر جيت اتش بي M438N ابيض/ اسود,"29,900.00 جنيه"
HP 652 Original Ink Cartridge Tri Color,890.00 جنيه
HP DeskJet Plus Ink Advantage 6075 All-in-One Printer - White,"6,650.00 جنيه"
HP HP Mouse Pavilion Gaming 200,"1,990.00 جنيه"
HP HP ProBook 450 G10 (859W0EA) (Core i5-1335U 10 Cores - 8GB DDR4 -Hard 512GB SSD -GPU Nvidia RTX 2050 4GB -Display 15.6 FHD IPS - Backlit KYB -OS DOS - اللون فضي),"35,499.00 جنيه"
HP HP Omen Encoder Gaming Keyboard Brown Switch,"9,480.00 جنيه"
HP GT53 90-ml Original Ink Bottle Black,"1,050.00 جنيه"
HP 151A - Black LaserJet Toner Cartridge,"7,329.00 جنيه"
